Direccion,LATITUD,LONGITUD
"IQUIQUE, CARDENAL JOSE CARDENAL CARO, PJE.  VIA LOCAL",-20.2641213,-70.1252803
"ALTO HOSPICIO, AV. LAS AMERICAS CON CANADA, 31.0",-20.2686722,-70.1049169
"ALTO HOSPICIO, LOS GUINDALES CON LOS KIWIS, 2590.0",-20.2658849,-70.1060772
"ALTO HOSPICIO, SANTA ROSA DE HUARA, 25.0",-20.2714519,-70.0879295
"ALTO HOSPICIO, LOS KIWIS, LOS GUINDALES, 2590.0",-20.2658849,-70.1060772
IQUIQUE,-20.2307033,-70.1356692
HUARA,-19.995924,-69.7712417
"IQUIQUE, BERNARDINO GUERRA, 13 ORIENTE",-20.2296924,-70.134465
"ALTO HOSPICIO, CERRO ESMERALDA, 2976.0",-20.2721122,-70.1000249
ALTO HOSPICIO,-20.2686722,-70.1049169
HUARA,-19.995924,-69.7712417
"ALTO HOSPICIO, AV. LOS AROMOS, 2328.0",-20.2736545,-70.0937502
"IQUIQUE, AV. LA TIRANA, AV. ARTURO PRAT",-20.2543166,-70.1260602
ALTO HOSPICIO,-20.2686722,-70.1049169
ALTO HOSPICIO,-20.2686722,-70.1049169
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, AV. PRAT, 2120.0",-20.244478,-70.1410328
PICA,,
"IQUIQUE, JUAN MARTINEZ, ZEGERS",-20.2307033,-70.1356692
COLCHANE,-19.2761393,-68.6388049
"ALTO HOSPICIO, RICARDO LAGOS CON OVALLE, 2450.0",-20.2686722,-70.1049169
"IQUIQUE, AV. LA TIRANA, CASTRO RAMOS",-20.2543166,-70.1260602
"IQUIQUE, ANIBAL PINTO, BULNES",-20.2167578,-70.1528862
"IQUIQUE, CERRO DRAGON, MAULE",-20.2374931,-70.1298787
"ALTO HOSPICIO, AV. LAS AMERICAS CON CARMELA CARVAJAL, 3000.0",-20.2800542,-70.1007563
"IQUIQUE, AV. PROGRESO, CESPEDES Y GONZALEZ",-20.2251209,-70.1331427
"ALTO HOSPICIO, AV. LAS PARCELAS, 20.0",-20.2753339,-70.0908506
"IQUIQUE, AV. PEDRO PRADO, ORELLA",-20.2212841,-70.1348904
HUARA,-19.995924,-69.7712417
"ALTO HOSPICIO, LOS DATILES, AV. RAMON PEREZ OPAZO, 2500.0",-20.2642587,-70.1057858
"IQUIQUE, ZEGERS, AV. HEROES DE LA CONCEPCION",-20.2180007,-70.1392298
"IQUIQUE, ZEGERS, VIVAR",-20.2175284,-70.1487847
"IQUIQUE, JOSE JOAQUIN PEREZ, AVDA. PEDRO PRADO",-20.2229938,-70.135099
"IQUIQUE, ESMERALDA, ERRAZURIZ",-20.2118422,-70.1432225
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, AMUNATEGUI, CESPEDES Y GONZALEZ",-20.2244134,-70.14698
POZO ALMONTE,-20.2570503,-69.7857064
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, 18 DE SEPTIEMBRE, SAN MARTIN",-20.2307033,-70.1356692
"IQUIQUE, AVDA. ARTURO PRAT, SOTOMAYOR",-20.2109307,-70.1514957
"ALTO HOSPICIO, ANTOFAGASTA CON PASAJE TALCA, 45.0",-20.2759861,-70.0810375
"ALTO HOSPICIO, LAS AVELLANAS CON LA NORIA, 2890.0",-20.268972,-70.1069944
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, AVDA. ARTURO PRAT, AVDA. CHIPANA",-20.2484469,-70.1381101
"IQUIQUE, AVDA. ARTURO PRAT, AVDA. AEROPUERTO",-20.2307033,-70.1356692
"IQUIQUE, CHANON, ALEJANDRIA",-20.2055919,-70.1335815
"ALTO HOSPICIO, CALLE FINLANDIA, AV. LAS AMERICAS, 45.0",-20.2957076,-70.1062929
"IQUIQUE, PLAYA BLANCA, RANCAGUA",-20.2307033,-70.1356692
"IQUIQUE, AVDA. LA TIRANA, PRESITENTE EDUARDO FREI MONTALVA",-20.2580681,-70.1253626
"ALTO HOSPICIO, LOS DATILES, LOS ALMENDROS, 3490.0",-20.2634765,-70.1050536
"IQUIQUE, JUAN MARTINEZ, 464.0",-20.2193478,-70.1454167
"ALTO HOSPICIO, LOS KIWIS CON LOS TAMARUGOS, 2790.0",-20.268833,-70.1028797
"IQUIQUE, SARGENTO ALDEA, 10 ORIENTE",-20.2164258,-70.1358155
"IQUIQUE, AVDA. CHIPANA, GUATACONDO",-20.2307033,-70.1356692
"ALTO HOSPICIO, AV. RAMON PEREZ OPAZO, LOS GUINDALES, 3450.0",-20.2647266,-70.1050322
"IQUIQUE, 21 DE MAYO, HERNAN FUENZALIDAD",-20.2286595,-70.1427026
HUARA,-19.995924,-69.7712417
"IQUIQUE, OHIGGINS, ELEUTERIO RAMIREZ",-20.2184918,-70.1494876
"IQUIQUE, VIVAR, 1214.0",-20.218536,-70.1488892
"IQUIQUE, TARAPACA, OSCAR BONILLA",-20.2194645,-70.1403842
"POZO ALMONTE, estacion con pampa germania, 0.0",-20.2612535,-69.7846354
"IQUIQUE, SERRANO, PATRICIO LYNCH",-20.2130592,-70.1513845
"IQUIQUE, OHIGGINS, AV. PEDRO PRADO",-20.2193218,-70.1347013
"IQUIQUE, AV. CERRO DRAGON, 3155.0",-20.2455526,-70.1292691
"IQUIQUE, ZEGERS, AMUNATEGUI",-20.2176315,-70.1465983
"ALTO HOSPICIO, AV. LAS AMERICAS, AV. SANTA MARIA, 3450.0",-20.2847174,-70.1022289
HUARA,-19.995924,-69.7712417
"IQUIQUE, RUTA A-1, 400.0",-20.2307033,-70.1356692
"IQUIQUE, 2 ORIENTE, 4 SUR",-20.2742676,-70.1241236
"IQUIQUE, AV. CERRO DRAGON, GOMEZ CARREÑO",-20.2330057,-70.1302175
"ALTO HOSPICIO, AV. LOS AROMOS, LOS GUINDALES, 2690.0",-20.2661815,-70.1064075
"ALTO HOSPICIO, AV. SANTA MARIA, AV. LAS AMERICAS, 3490.0",-20.2847174,-70.1022289
"ALTO HOSPICIO, NACIONES UNIDAS CON SAN FERNANDO, 87.0",-20.2686722,-70.1049169
"IQUIQUE, AVDA. SALVADOR ALLENDE, AV. JOSE MIGUEL CARRERA",-20.2307033,-70.1356692
POZO ALMONTE,-20.2570503,-69.7857064
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, THOMPSON, 21 DE MAYO",-20.2153669,-70.1418343
"IQUIQUE, JUAN MARTINEZ, LATORRE",-20.2169534,-70.1451921
"ALTO HOSPICIO, PAULA JARAQUEMADA, ADELA ZAMUDIO, 2790.0",-20.2833013,-70.1005459
"IQUIQUE, AV.PEDRO PRADO, AVDA. P.PRADO",-20.2653648,-70.1252091
"IQUIQUE, RAMIREZ, MANUEL  RODRIGUEZ",-20.2233541,-70.1497193
ALTO HOSPICIO,-20.2686722,-70.1049169
PICA,,
"IQUIQUE, PATRICIO LYNCH, JOSE JOAQUIN PEREZ",-20.2223397,-70.1515796
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, ANIBAL PINTO, OHIGGINS",-20.2182824,-70.1529419
"IQUIQUE, CAMPOS ORIENTE, AVDA. P. PRADO",-20.2307033,-70.1356692
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, OBISPO LABBE, RIQUELME",-20.2213589,-70.1504909
"IQUIQUE, DIEGO PORTALES, PJE. VIÑA DEL MAR",-33.0153481,-71.5500276
POZO ALMONTE,-20.2570503,-69.7857064
"ALTO HOSPICIO, AV. LAS AMERICAS CON FINLANDIA, 40.0",-20.2686722,-70.1049169
"IQUIQUE, TARAPACA, ELEUTERIO RAMIREZ",-20.2184918,-70.1494876
"IQUIQUE, 21 DE MAYO, 1203.0",-20.2307033,-70.1356692
HUARA,-19.995924,-69.7712417
"PICA, CAMINO PRIVADO MINERA, 94000.0",,
"IQUIQUE, AVDA. HERLA CONCEPCIONOES DE",-20.2307033,-70.1356692
"IQUIQUE, LAS ROSAS, GENARO GALLO",-20.2373067,-70.139562
"IQUIQUE, AVDA. LA TIRANA, TADEO HEANKE",-20.2382135,-70.1286667
"IQUIQUE, JUAN MARTINEZ, SERRANO",-20.2193478,-70.1454167
"IQUIQUE, OBISPO LABBE, RIQUELME",-20.2213589,-70.1504909
"IQUIQUE, AVDA. LA TIRANA, RUTA A-16",-20.2543166,-70.1260602
"IQUIQUE, AVDA. CIRCUNVALACION, MAPACHO",-20.2063726,-70.1306179
"IQUIQUE, 12 DE FEBRERO, SERRANO",-20.2307033,-70.1356692
"IQUIQUE, MANUEL CASTRO RAMOS, AVDA. LA TIRANA",-20.2444412,-70.1282904
ALTO HOSPICIO,-20.2686722,-70.1049169
"ALTO HOSPICIO, AV. LAS AMERICAS, 3458.0",-20.2901059,-70.1042119
"ALTO HOSPICIO, AV. LAS AMERICAS",-20.2901059,-70.1042119
"IQUIQUE, RANCAGUA, MAULE",-20.2379358,-70.1322064
"ALTO HOSPICIO, AV. LAS AMERICAS, AV. SANTA MARIA, 3290.0",-20.2847174,-70.1022289
"IQUIQUE, Arturo Fernández, 1373.0",-20.2187948,-70.1443066
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, PATRICIO LYNCH, SOTOMAYOR",-20.2154369,-70.1513951
"ALTO HOSPICIO, AV. COSTANERA, LOS AVELLANOS, 3290.0",-20.2686722,-70.1049169
"ALTO HOSPICIO, VERTEDERO MUNICIPAL, 1.0",-20.2686722,-70.1049169
"IQUIQUE, 18 DE SEPTIEMBRE, SARGENTO ALDEA",-20.2161654,-70.142953
HUARA,-19.995924,-69.7712417
COLCHANE,-19.2761393,-68.6388049
"IQUIQUE, AMUNATEGUI, SARGENTO ALDEA",-20.2160359,-70.1465023
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, 18 DE SEPTIEMBRE, SAN MARTIN",-20.2307033,-70.1356692
"ALTO HOSPICIO, AV. LA PAMPA, LOS ALMENDROS, 3290.0",-20.2725893,-70.1031146
"ALTO HOSPICIO, AV. LA PAMPA, LOS CONDORES, 2990.0",-20.2720767,-70.1028957
"IQUIQUE, BARROS ARANA, OSCAR TOMAS BONILLA",-20.2276758,-70.1407143
"IQUIQUE, AVDA. PEDRO PRADO, JOSE MIGUEL CARRERA",-20.2269962,-70.1354064
ALTO HOSPICIO,-20.2686722,-70.1049169
COLCHANE,-19.2761393,-68.6388049
"IQUIQUE, vivar, 458.0",-20.218536,-70.1488892
HUARA,-19.995924,-69.7712417
"IQUIQUE, PORVENIR, AV. CIRCUNVALACIÓN",-20.2063726,-70.1306179
"IQUIQUE, CAMPO DE DEPORTE, MARGARITA NARANJO",-20.225863,-70.1315828
HUARA,-19.995924,-69.7712417
"IQUIQUE, SOTOMAYOR, PATRICIO LYNCH",-20.2109436,-70.151012
IQUIQUE,-20.2307033,-70.1356692
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, AVDA. CHIPANA, PJE. QUINTERO",-32.7728122,-71.5335554
"IQUIQUE, CASTRO RAMOS, AVDA. CERRO DRAGÓN",-20.2443662,-70.129305
"ALTO HOSPICIO, AV. CIRCUNVALACION, 3479.0",-20.2853229,-70.1048561
"IQUIQUE, AVDA. PADRE HURTADO, AV. ARTURO PRAT",-20.2625059,-70.130789
ALTO HOSPICIO,-20.2686722,-70.1049169
"ALTO HOSPICIO, CIRCUNVALACION CON SAN DONATO, 2990.0",-20.2798646,-70.1055245
"IQUIQUE, CESPEDES GONZALEZ, JUAN MARTINEZ",-20.2244564,-70.145933
HUARA,-19.995924,-69.7712417
"IQUIQUE, ESTACIONAMIENTO SUPER, LIDER IQUIQUE, AVDA. HEROES DE LA CONCEPCION",-20.235014,-70.1435904
"HUARA, 1840.0",-19.995924,-69.7712417
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, AVDA. ARTURO PRAT, VIVAR",-20.2255093,-70.1494647
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, VIVAR, ESMERALDA",-20.2115901,-70.1484112
COLCHANE,-19.2761393,-68.6388049
PICA,,
HUARA,-19.995924,-69.7712417
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, AMUNATEGUI, LATORRE",-20.2168169,-70.1465983
HUARA,-19.995924,-69.7712417
"IQUIQUE, AV LA TIRANA, CALLE TRES",-20.2561589,-70.1256228
"IQUIQUE, JUAN MARTINEZ, JOSE JOAQUIN PEREZ",-20.2225558,-70.1457281
"ALTO HOSPICIO, CERRO ESMERALDA, PAMPA PERDIZ, 3490.0",-20.2721122,-70.1000249
"IQUIQUE, TARAPACA, BARROS ARANA",-20.2175833,-70.1474318
"IQUIQUE, SGTO. ALSEA, AMUNATEGUI",-20.2176315,-70.1465983
ALTO HOSPICIO,-20.2686722,-70.1049169
HUARA,-19.995924,-69.7712417
"IQUIQUE, AVDA. ARTURO PRAT, GOROSTIAGA",-20.2141572,-70.1548644
"ALTO HOSPICIO, CHACA, LOS ALMENDROS, 3490.0",-20.2687204,-70.1005212
"IQUIQUE, RAMIREZ, LATORRE",-20.2160808,-70.1493656
"ALTO HOSPICIO, LOS NOGALES, LOS DATILES, 2890.0",-20.2620837,-70.1037992
"IQUIQUE, AVDA. CIRCUNVALACION, ROTONDA EL PAMPINO",-20.2208561,-70.1319844
"IQUIQUE, AVDA. SALVADOR ALLENDE, AVDA. CERRO DRAGON",-20.2564933,-70.1277582
"IQUIQUE, HERNAN FUENZALIDA, AVDA. SALVADOR ALLENDE",-20.2290311,-70.135502
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, OBISPO LABBE, SIMON BOLIVAR",-20.2122091,-70.1502238
"IQUIQUE, MANUEL CASTRO RAMOS, CERRO DRAGON",-20.2443662,-70.129305
POZO ALMONTE,-20.2570503,-69.7857064
"ALTO HOSPICIO, LAS AVELLANAS, TILIVICHI, 2990.0",-20.2701428,-70.1084922
PICA,,
