Direccion,Latitud,Longitud
"ALTO HOSPICIO, LOS GUINDALES CON Avenida LOS AROMOS, 2790",-20.2729531,-70.0931598
"IQUIQUE, ZEGERS, Avenida PEDRO PRADO",-20.2182167,-70.1347514
"IQUIQUE, SOLDADO PEDRO PRADO, DIEGO PORTALES",-20.2307248,-70.1356851
"IQUIQUE, Avenida La Tirana CASTRO RAMOS",-20.2444412,-70.1282904
"IQUIQUE, Avenida Arturo Prat Avenida H. Heroes de la Concepcion",-20.2414367,-70.1342598
"ALTO HOSPICIO, Avenida LOS AROMOS, 3720",-20.2729531,-70.0931598
"IQUIQUE, RIQUELME, AMUNATEGUI",-20.2176315,-70.1465983
"ALTO HOSPICIO, Gabriela Mistral 4020",-20.2820561,-70.1035353
"ALTO HOSPICIO, Avenida LOS AROMOS CON RAUL ERLICH, 3790",-20.273488,-70.0931295
"IQUIQUE, ZEGERS, 21 DE MAYO",-20.2178506,-70.1419968
"IQUIQUE, TARAPACA, PATRICIO LYNCH",-20.2154369,-70.1513951
"IQUIQUE, Avenida H. Heroes de la Concepcion LAS ROZAS",-20.2414367,-70.1342598
"IQUIQUE, JUAN MARTINEZ, BULNES",-20.2193059,-70.1455148
"IQUIQUE, Avenida PRAT, DIEGO PORTALES",-20.2414367,-70.1342598
"IQUIQUE, Avenida La Tirana CALLE UNO",-20.2543166,-70.1260602
"IQUIQUE, Manuel Bulnes Avenida PEDRO PRADO",-20.2201814,-70.1349026
"IQUIQUE, LATORRE, ARTURO PEREZ CANTO",-20.2175256,-70.1371063
"IQUIQUE, prat, 2108",-20.21265,-70.1401344
"IQUIQUE, ESMERALDA, PATRICIO LYNCH",-20.2154369,-70.1513951
"HUARA, JOSE MIGUEL CARRERA, ELEUTERIO RAMIREZ",-19.9959408,-69.7712298
"IQUIQUE, Avenida Arturo Prat Avenida P. HURTADO",-20.2625059,-70.130789
"IQUIQUE, RUTA LA SAL 61B001, KLM 750",-20.2307033,-70.1356692
"IQUIQUE, PEDRO GAMBONI, Avenida Salvador Allende",-20.2364664,-70.1360525
"IQUIQUE, Avenida La Tirana Avenida CHIPANA",-20.2543166,-70.1260602
"IQUIQUE, Avenida La Tirana CAMPOS DEPORTES",-20.227256,-70.1298393
