X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,IdAccident,Fecha,TipoAccdte,Tipo_Accdt,Tipo__CONA,Zona,Causa,Causa__CON,Calzada,TipoCalzad,EstadoCalz,CondicionC,Estado_Adm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora
-70.1298939,-20.2375058,1351,1,REGION TARAPACA,1101,IQUIQUE,MAULE,AVDA. CERRO DRAGON,0,"Cerro Dragón & Maule, Iquique, Tarapacá, Chile",-20.2375058,-70.1298939,1,GEOMETRIC_CENTER,2018,1145930,2018/11/16 00:00:00+00,67,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,21:15:00
-70.1363117,-20.2300565,1352,1,REGION TARAPACA,1101,IQUIQUE,DIEGO POTALES,AVDA. ARTURO PRAT,0,"Galvarino 2208, Iquique, Tarapacá, Chile",-20.2300565,-70.1363117,1,ROOFTOP,2018,1143369,2018/11/06 00:00:00+00,10,ATROPELLO,ATROPELLO,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,1,09:50:00
-70.151652,-20.2125097,1353,1,REGION TARAPACA,1101,IQUIQUE,SAN MARTIN, ,368,"San Martín 368, Iquique, Tarapacá, Chile",-20.2125097,-70.151652,1,ROOFTOP,2018,1145974,2018/11/17 00:00:00+00,64,CHOQUE LADO/FRENTE,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,18:29:00
-70.1395828,-20.2219834,1354,1,REGION TARAPACA,1101,IQUIQUE,AVDA. HEROES DE LA CONCEPCION,ERNESTO ROQUELME,0,"Ernesto Riquelme & Avenida Héroes de la Concepción, Iquique, Tarapacá, Chile",-20.2219834,-70.1395828,1,GEOMETRIC_CENTER,2018,1145994,2018/11/17 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",DESOBEDIENCIA A SEÑALIZACION,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,2,22:50:00
-70.1281088,-20.2868719,1355,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PRAT CHACON, ,5445,"Av. Arturo Prat Chacón 5445, Iquique, Tarapacá, Chile",-20.2868719,-70.1281088,1,ROOFTOP,2018,1146077,2018/11/17 00:00:00+00,70,VOLCADURA,VOLCADURA,URBANO,CONDUCCION EN ESTADO DE EBRIEDAD,ALCOHOL EN CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,21:00:00
-70.1046037,-20.2623582,1356,1,REGION TARAPACA,1107,ALTO HOSPICIO,LOS PEPINOS,LOS PERALES,0,"Los pepinos 3169, Alto Hospicio, Tarapacá, Chile",-20.2623582,-70.1046037,1,ROOFTOP,2018,1146088,2018/11/13 00:00:00+00,62,CHOQUE FRENTE/LADO,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,1,1,07:45:00
-70.1469695,-20.2395639,1357,1,REGION TARAPACA,1101,IQUIQUE,CAPITAN ROBERTO PEREZ, ,2220,"Capitán Roberto Pérez 2220, Iquique, Tarapacá, Chile",-20.2395639,-70.1469695,1,ROOFTOP,2018,1146098,2018/11/18 00:00:00+00,33,COLISION POR ALCANCE,COLISION,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,19:40:00
-70.1025442,-20.2662507,1358,1,REGION TARAPACA,1107,ALTO HOSPICIO,LOS ALAMOS,LOS CASTAÑOS,0,"Avenida los Alamos & Los Castaños, Alto Hospicio, Tarapacá, Chile",-20.2662507,-70.1025442,1,GEOMETRIC_CENTER,2018,1146101,2018/11/14 00:00:00+00,65,CHOQUE LADO/LADO,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,0,1,07:53:00
-70.0972785,-20.2743469,1359,1,REGION TARAPACA,1107,ALTO HOSPICIO,TARAPACA,LOS CONDORES,0,"Cerro Tarapacá & Avenida Los Cóndores, Alto Hospicio, Tarapacá, Chile",-20.2743469,-70.0972785,1,GEOMETRIC_CENTER,2018,1146112,2018/11/15 00:00:00+00,65,CHOQUE LADO/LADO,CHOQUE,URBANO,"ADELANTAMIENTO EN CRUCE, CURVA, CUESTA, PUENTE",IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,0,1,13:15:00
-70.1084981,-20.2776575,1360,1,REGION TARAPACA,1107,ALTO HOSPICIO,CIRCUNVALACION,TILIVICHE,0,"Circunvalación & Tiliviche, Alto Hospicio, Tarapacá, Chile",-20.2776575,-70.1084981,1,GEOMETRIC_CENTER,2018,1146154,2018/11/15 00:00:00+00,10,ATROPELLO,ATROPELLO,URBANO,"VEHICULO EN RETROCESO, CONDUCIR",IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,1,1,11:30:00
