X,Y,FID,Idaccident,Latitude,Longitude,Fecha,Hora,Cód_Regi,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa,Causa__CON,Calle_Uno,Calle_Dos,Intersecci,Número,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Lesionados,Graves,Menos_Grav,Leves
-7807029.25128778,-2299986.63402181,824,1541379,-20.227379,-70.131737,2023/06/27 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,PROGRESO, ,- PROGRESO,2000,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7809089.3297844,-2298395.08179669,825,1542425,-20.213963,-70.150243,2023/06/27 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,OBISPO LABBE,TARAPACA,OBISPO LABBE - TARAPACA,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7808460.04070295,-2301367.13443378,826,1542448,-20.239015,-70.14459,2023/06/27 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,HEROES DE LA CONCEPCION, ,- HEROES DE LA CONCEPCION,2855,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7808565.7942192,-2299192.38295263,827,1541404,-20.220684,-70.14554,2023/06/28 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,ORELLA,JUAN MARTINEZ,JUAN MARTINEZ - ORELLA,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7807792.79167514,-2299009.69224809,828,1541459,-20.219144,-70.138596,2023/06/28 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,IMPRUDENCIA DEL CONDUCTOR,BERNARDO O'HIGGINS,LUIS CRUZ MARTINEZ,BERNARDO O'HIGGINS - LUIS CRUZ MARTINEZ,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,1
-7806849.91558812,-2302927.38093238,829,1542478,-20.252165,-70.130126,2023/06/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION EN ESTADO DE EBRIEDAD,ALCOHOL EN CONDUCTOR,RANCAGUA, ,- RANCAGUA,3343,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,1
-7807909.45450149,-2299442.22135061,830,1541472,-20.22279,-70.139644,2023/06/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION FRONTAL,COLISION,URBANA,CRUCE CON SEÑAL PARE,SEÑALIZACION DESOBEDECER SEÑAL PARE,DESOBEDIENCIA A SEÑALIZACION,HEROES DE LA CONCEPCION,JOSE JOAQUIN PEREZ,HEROES DE LA CONCEPCION - JOSE JOAQUIN PEREZ,0,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7808065.85838605,-2298567.56450141,831,1541474,-20.215417,-70.141049,2023/06/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION FRONTAL,COLISION,URBANA,CRUCE CON SEÑAL CEDA EL PASO,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,DESOBEDIENCIA A SEÑALIZACION,12 DE FEBRERO,THOMPSON,12 DE FEBRERO - THOMPSON,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,2,0,1,1
-7808241.29790354,-2298270.05063731,832,1541473,-20.212909,-70.142625,2023/06/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEÑAL PARE,SEÑALIZACION DESOBEDECER SEÑAL PARE,DESOBEDIENCIA A SEÑALIZACION,18 DE SEPTIEMBRE,SAN MARTIN,18 DE SEPTIEMBRE - SAN MARTIN,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7754093.82778933,-2312938.29233274,833,1541471,-20.336512,-69.65621,2023/06/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,CHIPANA,LA TIRANA,CHIPANA - LA TIRANA,0,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7806758.52228617,-2302002.01423928,834,1541477,-20.244366,-70.129305,2023/06/30 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION FRONTAL,COLISION,URBANA,CRUCE CON SEÑAL PARE,SEÑALIZACION DESOBEDECER SEÑAL PARE,DESOBEDIENCIA A SEÑALIZACION,CASTRO RAMOS,CERRO DRAGON,CASTRO RAMOS - CERRO DRAGON,0,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7807804.25758269,-2299109.10423833,835,1541485,-20.219982,-70.138699,2023/06/30 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,LUIS CRUZ MARTINEZ,MANUEL BULNES,LUIS CRUZ MARTINEZ - MANUEL BULNES,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7803587.47527144,-2306373.44295168,836,1543468,-20.281205,-70.100819,2023/06/30 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,ALTO HOSPICIO,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,LAS AMERICAS,JUANITA FERNANDEZ,JUANITA FERNANDEZ - LAS AMERICAS,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7807528.07392603,-2297869.9328933,837,1543438,-20.209536,-70.136218,2023/07/01 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,CHOQUE LADO/LADO,CHOQUE,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,LAS MONTAÑAS, ,- LAS MONTAÑAS,1921,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7809048.2528923,-2298613.59179547,838,1543462,-20.215805,-70.149874,2023/07/01 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,CHOQUE FRONTAL,CHOQUE,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,ALMIRANTE LATORRE, ,- ALMIRANTE LATORRE,544,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7807784.10875485,-2298236.83567092,839,1542874,-20.212629,-70.138518,2023/07/01 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,CONDUCCION EN ESTADO DE EBRIEDAD,ALCOHOL EN CONDUCTOR,HEROES DE LA CONCEPCION, ,- HEROES DE LA CONCEPCION,2555,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,2,0,0,2
-7808180.85142004,-2298983.59372365,840,1543686,-20.218924,-70.142082,2023/07/01 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,IQUIQUE,COLISION POR ALCANCE,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,21 DE MAYO,BERNARDO O'HIGGINS,21 DE MAYO - BERNARDO O'HIGGINS,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
