Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Direccion,Latitud,Longitud
05/04/2017,20:05,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,CALLE PORVENIR,,450,,,"IQUIQUE, CALLE PORVENIR, 450",-20.2460501,-70.1243395
06/04/2017,07:00,ALTO HOSPICIO,Choque,Conducción en estado de ebriedad,0,0,0,0,2,URBANO,CALETERA A-16,LOS CONDORES,,,,"ALTO HOSPICIO, CALETERA A-16, LOS CONDORES",-20.2671328,-70.0874421
06/04/2017,08:00,ALTO HOSPICIO,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,1,URBANO,CALETERA A-16,GABRIELA MISTRAL,,,,"ALTO HOSPICIO, CALETERA A-16, GABRIELA MISTRAL",-20.2859501,-70.1049392
06/04/2017,08:05,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,LOS TAMARUGOS,LOS KIWIS,,,,"ALTO HOSPICIO, LOS TAMARUGOS, LOS KIWIS",-20.268833,-70.1028797
06/04/2017,14:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,ARTURO PRAT CHACON,TADEO HAENKE,,,,"IQUIQUE, ARTURO PRAT CHACON, TADEO HAENKE",-20.2404198,-70.1372473
06/04/2017,16:20,ALTO HOSPICIO,Atropello,"Fallas mecánicas, motor",0,0,1,3,1,URBANO,TENIENTE HERNAN MERINO CORREA,,31,,,"ALTO HOSPICIO, TENIENTE HERNAN MERINO CORREA, 31",-20.2885751,-70.0840983
06/04/2017,18:05,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,LA TIRANA,ELIAS LAFERTE,,,,"IQUIQUE, LA TIRANA, ELIAS LAFERTE",-20.2307033,-70.1356692
06/04/2017,18:25,ALTO HOSPICIO,Choque,"Vehiculo en retroceso, conducir",0,0,0,0,1,URBANO,CALETERA A-16,LOS CONDORES,,,,"ALTO HOSPICIO, CALETERA A-16, LOS CONDORES",-20.2671328,-70.0874421
07/04/2017,04:10,IQUIQUE,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,0,1,URBANO,ELEUTERIO RAMIREZ,THOMPSON,,,,"IQUIQUE, ELEUTERIO RAMIREZ, THOMPSON",-20.2184918,-70.1494876
07/04/2017,08:40,IQUIQUE,Atropello,Causas no determinadas,0,0,0,1,1,URBANO,LIBERTDADOR BERNARDO O HIGGINS,,427,,,"IQUIQUE, LIBERTDADOR BERNARDO O HIGGINS, 427",-20.2186206,-70.1511156
07/04/2017,09:00,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,0,2,URBANO,ARTURO PRAT,MANUEL BLNES,,,,"IQUIQUE, ARTURO PRAT, MANUEL BLNES",-20.2192283,-70.1545847
07/04/2017,14:20,IQUIQUE,Choque,Perdida control vehículo,0,0,0,0,3,URBANO,SALVADOR ALLENDE,PASAJE 2,,,,"IQUIQUE, SALVADOR ALLENDE, PASAJE 2",-20.2613242,-70.1246494
07/04/2017,14:30,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,1,URBANO,VIVAR,,900,,,"IQUIQUE, VIVAR, 900",-20.2165035,-70.1485256
07/04/2017,14:30,IQUIQUE,Choque,Adelantamiento sobrepasando línea continua,0,0,0,0,2,URBANO,OBISPO LABBE,THOMPSON,,,,"IQUIQUE, OBISPO LABBE, THOMPSON",-20.2158511,-70.1502751
07/04/2017,15:22,ALTO HOSPICIO,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,LAS AMERICAS,,4006,,,"ALTO HOSPICIO, LAS AMERICAS, 4006",-20.2845864,-70.10207
